"number","station_name","lat","lng","bike_stands","average_bike_stands","average_bikes"
289,"00289 - BIARRITZ - CASSELARDIT",43.607189,1.409324,13,6.88329336530775,5.96722621902478
290,"00290 - AMIDONNIERS - DEBAT-PONSAN",43.606453,1.420798,13,5.01838529176659,7.24220623501199
291,"00291 - ÎLE DU RAMIER TRAMWAY",43.592077,1.439829,13,6.93045563549161,4.95043964828137
293,"00293 - TASSIGNY - MOMBIOLA",43.578537,1.438375,13,7.03037569944045,5.17426059152678
294,"00294 - ILE DU RAMIER - PASSERELLE CONTI",43.580259,1.434156,13,5.54516386890488,6.02398081534772
295,"00295 - PLACE GUY HERSANT",43.577461,1.442964,13,7.52038369304556,4.45563549160671
296,"00296 - ESPAGNE-LANGLADE",43.571858,1.42447,13,6.6986410871303,5.31814548361311
297,"00297 - AV. DE MURET - DUBOUL",43.57933,1.423325,13,7.00319744204636,5.77458033573141
298,"00298 - ROUTE DE SEYSSES - C. DE VICOSE",43.57179,1.418239,13,6.5347721822542,6.24300559552358
299,"00299 - VOSGES - BEAUCE",43.581868,1.419446,13,6.47002398081535,5.8537170263789
300,"00300 - VESTREPAIN - BAGATELLE",43.584492,1.411057,13,4.64508393285372,6.86730615507594
301,"00301 - LARDENNE - BROMBACH",43.592951,1.40379,13,6.06554756195044,5.09592326139089
302,"00302 - JARDIN DU BARRY",43.601379,1.403879,13,7.55875299760192,3.68585131894484
304,"00304 - CARTOUCHERIE TRAMWAY",43.602797,1.408133,13,7.46682653876899,5.11111111111111
305,"00305 - ZENITH TRAMWAY",43.601356,1.411617,13,7.39168665067946,4.47801758593125
306,"00306 - DEODAT - ARCS SAINT CYPRIEN",43.590111,1.423003,13,5.54356514788169,6.85131894484412
307,"00307 - SUISSE - POLITKOVSKAIA",43.61324,1.419932,13,5.0607513988809,6.8193445243805
308,"00308 - SEPT DENIERS - TROÈNES",43.620967,1.412027,13,7.41566746602718,4.7418065547562
309,"00309 - ROUTE DE BLAGNAC - ROQUES",43.622042,1.405735,13,3.90407673860911,8.61151079136691
310,"00310 - DALI-BONIN",43.626244,1.411083,13,6.17905675459632,5.6986410871303
311,"00311 - ETATS-UNIS - GLACIÈRE",43.646471,1.426013,13,2.95603517186251,8.24620303756994
